Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,Housing Index,1999-10-31T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-11-30T00:00:00,57.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-12-31T00:00:00,57.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-01-31T00:00:00,57.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-02-29T00:00:00,57.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-03-31T00:00:00,57.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-04-30T00:00:00,57.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-05-31T00:00:00,57.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-06-30T00:00:00,57.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-07-31T00:00:00,57.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-08-31T00:00:00,58.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-09-30T00:00:00,58.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-10-31T00:00:00,58.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-11-30T00:00:00,58.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2000-12-31T00:00:00,58.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-01-31T00:00:00,58.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-02-28T00:00:00,58.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-03-31T00:00:00,59,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-04-30T00:00:00,59.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-05-31T00:00:00,59.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-06-30T00:00:00,59.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-07-31T00:00:00,59.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-08-31T00:00:00,59.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-09-30T00:00:00,59.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-10-31T00:00:00,59.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-11-30T00:00:00,60.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2001-12-31T00:00:00,60.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,2002-01-31T00:00:00,60.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
