Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,Households Debt To Income,2017-12-31T00:00:00,173.57,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2018-03-31T00:00:00,171.89,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2018-06-30T00:00:00,172.59,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2018-09-30T00:00:00,173.8,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2018-12-31T00:00:00,173.86,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2019-03-31T00:00:00,172.96,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2019-06-30T00:00:00,173.65,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2019-09-30T00:00:00,173.86,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2019-12-31T00:00:00,173.07,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2020-03-31T00:00:00,171.74,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2020-06-30T00:00:00,166.78,Quarterly,CANADAHDTI,2020-09-12T10:22:00
Canada,Households Debt To Income,2020-09-30T00:00:00,170.93,Quarterly,CANADAHDTI,2020-12-11T14:10:00
Canada,Households Debt To Income,2020-12-31T00:00:00,169.87,Quarterly,CANADAHDTI,2021-03-13T10:17:00
Canada,Households Debt To Income,2021-03-31T00:00:00,167.7,Quarterly,CANADAHDTI,2021-06-12T10:19:00
Canada,Households Debt To Income,2021-06-30T00:00:00,172.93,Quarterly,CANADAHDTI,2021-09-11T10:13:00
